candidate_id,source_batch_id,min_current_width_atr,untouched_lookback,tp_sl_ratio,tp_atr_multiplier,sl_atr_multiplier,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
w01-lb070-r2_0,lab_3d_w01_lb_ratio,1,70,2.0,6.0,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1283,1283,0.3406079501169134840218238504,1.025975568673243415096766261,27.99999999999999735916399349,27.99999999999999735916399349,0.1525665244949685458141418491,-0.3212158774162156384236864250,724,0.3480662983425414364640883978,31.99999999999999930975634557,31.99999999999999930975634557,559,0.3309481216457960644007155635,-4.000000000000001950592352060,-4.000000000000001950592352060,run_98f18173603146cfa2a9a2b7c10479ff,ema_pullback:6ded04ae46d53aa0e965663d
w01-lb070-r2_25,lab_3d_w01_lb_ratio,1,70,2.25,6.75,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1273,1273,0.3126472898664571877454831108,1.009711795649636493172040393,20.50000000000000203425471788,20.50000000000000203425471788,0.05272548147793144201624951921,-0.3194417338276997191038850808,718,0.3133704735376044568245125348,13.25000000000000313201334357,13.25000000000000313201334357,555,0.3117117117117117117117117117,7.249999999999998902241374320,7.249999999999998902241374320,run_35c10286e57947508de7f3002418c3e2,ema_pullback:1fcfda8aec51240265afcf96
w01-lb070-r2_5,lab_3d_w01_lb_ratio,1,70,2.5,7.5,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1265,1265,0.2972332015810276679841897233,1.058795207910886924057621426,51.00000000000000117618612203,51.00000000000000117618612203,0.3665115321765798037536002324,-0.2547881562258794984686676391,713,0.2945301542776998597475455820,22.00000000000000473917904545,22.00000000000000473917904545,552,0.3007246376811594202898550725,28.99999999999999643700707668,28.99999999999999643700707668,run_fce9617cd20248ec893496138992b322,ema_pullback:05c2327f2f2dc1eb746bdaa3
w01-lb070-r2_75,lab_3d_w01_lb_ratio,1,70,2.75,8.25,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1253,1253,0.2865123703112529928172386273,1.105176420367107295691668793,93.25000000000000656235734185,93.25000000000000656235734185,0.6932107491779580775422256626,-0.2407224775396208480573339176,703,0.2844950213371266002844950213,47.00000000000000724631117533,47.00000000000000724631117533,550,0.2890909090909090909090909091,46.24999999999999931604616650,46.24999999999999931604616650,run_bf2db17ad80149acb60e9f9f86ba964b,ema_pullback:8fba813b8737fa8dc71dd6d1
w01-lb070-r3_0,lab_3d_w01_lb_ratio,1,70,3.0,9.0,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1245,1245,0.2642570281124497991967871486,1.055927228878757238710379831,71.00000000000000238431952293,71.00000000000000238431952293,0.3108640411309851230768756448,-0.2970604011479468618298912869,698,0.2664756446991404011461318052,46.00000000000000258679435358,46.00000000000000258679435358,547,0.2614259597806215722120658135,24.99999999999999979752516939,24.99999999999999979752516939,run_431b7167f7724fe699c31f2f1ed0ec95,ema_pullback:01e05cde24158542e10a6c47
w01-lb070-r3_25,lab_3d_w01_lb_ratio,1,70,3.25,9.75,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1238,1238,0.2544426494345718901453957997,1.087458379465223634697954885,100.7500000000000007199217945,100.7500000000000007199217945,0.5203765993247917717215447902,-0.2533201004280294804059360392,694,0.2536023054755043227665706052,54.00000000000000395196125475,54.00000000000000395196125475,544,0.2555147058823529411764705882,46.74999999999999676796053983,46.74999999999999676796053983,run_d1946864ef954ba78f72439222e07906,ema_pullback:3ea317637d8f8fe30f63c098
w01-lb070-r3_5,lab_3d_w01_lb_ratio,1,70,3.5,10.5,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1223,1223,0.2379394930498773507767784137,1.075307494787685104801999559,86.50000000000000708690850711,86.50000000000000708690850711,0.4672341285086674965873927411,-0.2203872883482607815027061439,688,0.2369186046511627906976744186,45.50000000000000681577739109,45.50000000000000681577739109,535,0.2392523364485981308411214953,41.00000000000000027113111607,41.00000000000000027113111607,run_033a2ec5e98b44febf30b1c95705f997,ema_pullback:39d72fa1eda20b77394ca1f2
w01-lb070-r3_75,lab_3d_w01_lb_ratio,1,70,3.75,11.25,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1208,1208,0.2268211920529801324503311258,1.074376526044734302754361851,93.49999999999999539302059256,93.49999999999999539302059256,0.4749749903283403395602306859,-0.2112475248790945044215936519,680,0.2235294117647058823529411765,41.99999999999999681564488830,41.99999999999999681564488830,528,0.2310606060606060606060606061,51.49999999999999857737570432,51.49999999999999857737570432,run_733a738e9d3948b19f3b54c74c2d0556,ema_pullback:3dbef35490552d6279c359df
w01-lb070-r4_0,lab_3d_w01_lb_ratio,1,70,4.0,12.0,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1192,1192,0.2105704697986577181208053691,1.017537278979156961695215501,63.00000000000000005532996518,63.00000000000000005532996518,0.09598861029325667859754810427,-0.2665916826298634928835072287,668,0.2035928143712574850299401198,11.99999999999999969201654821,11.99999999999999969201654821,524,0.2194656488549618320610687023,51.00000000000000036331341697,51.00000000000000036331341697,run_d5033e0be74e4909bc26aa96dab02399,ema_pullback:11f6c67d0a255aecda4b6932
w01-lb070-r4_25,lab_3d_w01_lb_ratio,1,70,4.25,12.75,3.0,3517f75d28274635d933c2bd78484cae8726082cdb7b93ab579d243d4ca4dc90,1189,1189,0.2052144659377628259041211102,1.048063459767178971521589138,92.00000000000000461160584051,92.00000000000000461160584051,0.3032570847585104677620450576,-0.2292045284449763841519084366,666,0.1996996996996996996996996997,32.25000000000000356578889368,32.25000000000000356578889368,523,0.2122370936902485659655831740,59.75000000000000104581694683,59.75000000000000104581694683,run_f12ce4f77a9244f2878c9382d790cc4a,ema_pullback:bee9a774017a2b93a1c7c9a6
