candidate_id,source_batch_id,untouched_lookback,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
lookback-001,eth_ema200_untouched_anchor_sweep,1,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3778,3778,0.4997353096876654314452091053,0.9861627447343177334184785849,-2,-2,-0.2941412329481816612745916902,-0.7003891377616098590757510993,2025,0.5061728395061728395061728395,25,25,1753,0.4922989161437535653166001141,-27,-27,run_cd491ffad1654fb5bae2e441631528f7,ema_pullback:7ec8fd54cac20f8d696e840a
lookback-002,eth_ema200_untouched_anchor_sweep,2,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3606,3606,0.5,0.9852675310646934863788044773,0,0,-0.2951636487259458222716022987,-0.6951372643190630385791446393,1933,0.5069839627521986549405069840,27,27,1673,0.4919306634787806335923490735,-27,-27,run_ef46cce1b29f4d5fa95301d3a530056e,ema_pullback:03ace08619ea11f17e1e95f8
lookback-003,eth_ema200_untouched_anchor_sweep,3,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3507,3507,0.4975762760193897918448816652,0.9787408872097180351782553035,-17,-17,-0.3835351585544182656316881494,-0.7085458826229040965853326128,1888,0.5074152542372881355932203390,28,28,1619,0.4861025324274243360098826436,-45,-45,run_d063dd3f8ba84fe9b5714c8dbd07defd,ema_pullback:e9961e874cf28c0c14dc2c09
lookback-004,eth_ema200_untouched_anchor_sweep,4,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3405,3405,0.4980910425844346549192364170,0.9829625802814175184080519587,-13,-13,-0.2920497176512421859128298725,-0.6488443444009692711080718002,1842,0.5081433224755700325732899023,30,30,1563,0.4862444017914267434420985285,-43,-43,run_9a9362b905fb4d888a8cd541265fc681,ema_pullback:420b04e5a0e5eddb95b58c91
lookback-005,eth_ema200_untouched_anchor_sweep,5,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3325,3325,0.5001503759398496240601503759,0.9886385335025585449533291309,1,1,-0.2025180933787533829575414215,-0.6185968605707062897679388376,1799,0.5125069483046136742634797110,45,45,1526,0.4855832241153342070773263434,-44,-44,run_bed1f886ef0a4cedb27ea3466df1a26e,ema_pullback:e515bddf0ae4179801d22d1f
lookback-006,eth_ema200_untouched_anchor_sweep,6,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3257,3257,0.4995394534848019649984648449,0.9880546343730916904307710654,-3,-3,-0.2100370260541763281823727943,-0.6381154586598327298389323123,1765,0.5116147308781869688385269122,41,41,1492,0.4852546916890080428954423592,-44,-44,run_cd88eb95731642b695085d6068065ecf,ema_pullback:636f162de8987926fece8440
lookback-007,eth_ema200_untouched_anchor_sweep,7,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3199,3199,0.5004688965301656767739918725,0.9895457861328220607392967088,3,3,-0.1845792811425615989579121954,-0.6477255871591222872193673200,1737,0.5123776626367299942429476108,43,43,1462,0.4863201094391244870041039672,-40,-40,run_91b4ffddff4c499ba38c7c0d59add997,ema_pullback:7fdfa0683db818e99eb98fe6
lookback-008,eth_ema200_untouched_anchor_sweep,8,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3157,3157,0.5020589166930630345264491606,0.9928319365209389342646526463,13,13,-0.1242264651263640534330129681,-0.6366656013135008959039534550,1717,0.5136866627839254513686662784,47,47,1440,0.4881944444444444444444444444,-34,-34,run_88d4622460ad4e3d8b6c6d08245a028d,ema_pullback:a0592655c3828d576639b035
lookback-009,eth_ema200_untouched_anchor_sweep,9,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3112,3112,0.5019280205655526992287917738,0.9914502341532318512930159535,12,12,-0.1445562553957779500748373038,-0.6523776596736765192783461857,1693,0.5144713526284701712935617247,49,49,1419,0.4869626497533474277660324172,-37,-37,run_0ec104d4fe564aeb86f6a7b56e3179d3,ema_pullback:e53a56f10ce60acf79bf0240
lookback-010,eth_ema200_untouched_anchor_sweep,10,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3062,3062,0.5022860875244937949052906597,0.9930042929662462754117630736,14,14,-0.1180647858877731785586559955,-0.6372586097764771681995210526,1666,0.5150060024009603841536614646,50,50,1396,0.4871060171919770773638968481,-36,-36,run_ac58161207854c6897c8f8424f93109c,ema_pullback:bfd4d41db8a7d855f210ceb1
lookback-011,eth_ema200_untouched_anchor_sweep,11,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,3019,3019,0.5021530308049022855250082809,0.9914574861984396646925760979,13,13,-0.1362863817396795425125794366,-0.6217766259070548736246924180,1642,0.5146163215590742996345919610,48,48,1377,0.4872912127814088598402323893,-35,-35,run_d802a9f02b4c4b668fc0a2cb09e69d0c,ema_pullback:49bfff08aa868e7c0ea8e332
lookback-012,eth_ema200_untouched_anchor_sweep,12,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2948,2948,0.5027137042062415196743554953,0.9952536758122103965422717223,16,16,-0.07716249828686485563082301127,-0.5997282219732447850438692207,1606,0.5136986301369863013698630137,44,44,1342,0.4895678092399403874813710879,-28,-28,run_4397f81d7b6d4f1283dcfcc23c3a460f,ema_pullback:722fadbaa89715bdb3cffce7
lookback-013,eth_ema200_untouched_anchor_sweep,13,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2910,2910,0.5013745704467353951890034364,0.9919015858772805238299545689,8,8,-0.1266603276460932787635992772,-0.6160258219764649221508968140,1576,0.5114213197969543147208121827,36,36,1334,0.4895052473763118440779610195,-28,-28,run_585fee53af4240cd9581e7b347b46062,ema_pullback:a4f27f217aa5c0c174290f36
lookback-014,eth_ema200_untouched_anchor_sweep,14,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2878,2878,0.5010423905489923558026407227,0.9907770443935005588335536665,6,6,-0.1372855521512708558708473773,-0.5904444443169490761116923444,1560,0.5121794871794871794871794872,38,38,1318,0.4878603945371775417298937785,-32,-32,run_bb5e3e8b6f5e4a108d8e47af5498a2ca,ema_pullback:2866f555341519c5d658832f
lookback-015,eth_ema200_untouched_anchor_sweep,15,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2830,2830,0.5,0.9831740252569037096569468340,0,0,-0.2302000493603820866356069021,-0.5973880109709646424495791067,1533,0.5101108936725375081539465101,31,31,1297,0.4880493446414803392444101773,-31,-31,run_bacd183dde7d4055bbbd63806c9f4055,ema_pullback:609fa83095af55d5eb51d4bf
lookback-016,eth_ema200_untouched_anchor_sweep,16,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2779,2779,0.5030586541921554516012954300,0.9873396803416548907478499240,17,17,-0.1729825962140600956612453397,-0.5887992010849323527668710641,1505,0.5116279069767441860465116279,35,35,1274,0.4929356357927786499215070644,-18,-18,run_3d7c9353f8a34f6ab6b545d16e1fc1ad,ema_pullback:e3758df20baae8b48c14f58c
lookback-017,eth_ema200_untouched_anchor_sweep,17,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2746,2746,0.5025491624180626365622723962,0.9870846605421243878710435019,14,14,-0.1731672840948421642523454854,-0.5944134336192508347863926072,1485,0.5111111111111111111111111111,33,33,1261,0.4924662965900079302141157811,-19,-19,run_17a7cb9599894fa0ad938abaf6080e4f,ema_pullback:d922af87fc53955be3f9f839
lookback-018,eth_ema200_untouched_anchor_sweep,18,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2707,2707,0.5016623568526043590690801625,0.9841052980633244085831142424,9,9,-0.2026112560397249331547543805,-0.5888775014953007299938599374,1458,0.5109739368998628257887517147,32,32,1249,0.4907926341072858286629303443,-23,-23,run_620a4a9a135f476fbc6edaae2fd3a81c,ema_pullback:be52fafefeeccab42cf4be3c
lookback-019,eth_ema200_untouched_anchor_sweep,19,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2670,2670,0.5007490636704119850187265918,0.9864084449231439462654656820,4,4,-0.177591489475008664002537924,-0.5853583870307852875314777745,1443,0.5100485100485100485100485100,29,29,1227,0.4898125509372453137734311328,-25,-25,run_a69c7bdb66264252a51249281a0b625f,ema_pullback:087779aedf99de3b72ff994c
lookback-020,eth_ema200_untouched_anchor_sweep,20,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2638,2638,0.5003790750568612585291887794,0.9853840783427241056004130860,2,2,-0.1891611165901330578292191148,-0.5856250223521207853934715802,1429,0.5115465360391882435269419174,33,33,1209,0.4871794871794871794871794872,-31,-31,run_3c9c57f39ce443699493ebeaa573bbdc,ema_pullback:11db37dfde19c6bb9f7b3a7f
lookback-021,eth_ema200_untouched_anchor_sweep,21,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2586,2586,0.5011600928074245939675174014,0.9870135018222618819006768874,6,6,-0.1684335851067467345903914517,-0.5973735201251599181397828701,1394,0.5136298421807747489239598278,38,38,1192,0.4865771812080536912751677852,-32,-32,run_d18340613bf14210a6d5312d7777f8de,ema_pullback:a36ef3e7ae013f7197aebb6e
lookback-022,eth_ema200_untouched_anchor_sweep,22,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2550,2550,0.5019607843137254901960784314,0.9892182655968126066012145383,10,10,-0.1424610805578817363017155902,-0.6052227380292024796663750492,1375,0.5149090909090909090909090909,41,41,1175,0.4868085106382978723404255319,-31,-31,run_e0d28eecd0664430ad4ae845137aaa32,ema_pullback:d12c43f5643b6b5d3443288f
lookback-023,eth_ema200_untouched_anchor_sweep,23,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2511,2511,0.5005973715651135005973715651,0.9829588566230430724676943332,3,3,-0.2085657432824925440337095683,-0.6013423275919422912527973009,1354,0.5118168389955686853766617430,32,32,1157,0.4874675885911840968020743302,-29,-29,run_a6828892fb2944d78c59eba54b17093f,ema_pullback:c0b0a422d1efcbb07cc41129
lookback-024,eth_ema200_untouched_anchor_sweep,24,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2472,2472,0.5004045307443365695792880259,0.9806997752272333737974527328,2,2,-0.2237622765655512203804022634,-0.5888645476792757192580776836,1334,0.5112443778110944527736131934,30,30,1138,0.4876977152899824253075571178,-28,-28,run_712ee3a205dc40faa9fab985d5972281,ema_pullback:b560d725d802a91c8d1d1614
lookback-025,eth_ema200_untouched_anchor_sweep,25,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2436,2436,0.4975369458128078817733990148,0.9755940822955470067869549121,-12,-12,-0.2681068113887690325767934099,-0.5786454679297719383883245112,1318,0.5068285280728376327769347496,18,18,1118,0.4865831842576028622540250447,-30,-30,run_ddb47ca5b75c4121a64d0b62903a24fb,ema_pullback:58dd5fa18bf3d75c43ee809a
lookback-026,eth_ema200_untouched_anchor_sweep,26,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2403,2403,0.4977111943404078235538909696,0.9783010402440422427617179396,-11,-11,-0.2400688521991806615049012937,-0.5775593364129850954680104435,1298,0.5077041602465331278890600924,20,20,1105,0.4859728506787330316742081448,-31,-31,run_c59d7b9ff5424490bb7ad4ba3569d8a7,ema_pullback:0c617d62edeb544a9bc8d05f
lookback-027,eth_ema200_untouched_anchor_sweep,27,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2366,2366,0.4983093829247675401521555368,0.9799641723555950462623119384,-8,-8,-0.2178434161333049295700674576,-0.5626286660994506606737429805,1275,0.5098039215686274509803921569,25,25,1091,0.4848762603116406966086159487,-33,-33,run_78275525c7174e7e964075d33dac93bc,ema_pullback:e1b85b2c928e9d348c41a569
lookback-028,eth_ema200_untouched_anchor_sweep,28,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2320,2320,0.4965517241379310344827586207,0.9728718478261247477686027928,-16,-16,-0.2790465088510356662066989887,-0.5753977915350469217420625441,1250,0.5088,22,22,1070,0.4822429906542056074766355140,-38,-38,run_967c76d6198a4f02a9f2623380a27922,ema_pullback:c15d11266068e7dce96d33cb
lookback-029,eth_ema200_untouched_anchor_sweep,29,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2285,2285,0.4962800875273522975929978118,0.9728326960356221675303780700,-17,-17,-0.2777183551132129933399822103,-0.5690970495877142377016850645,1227,0.5077424612876935615321923390,19,19,1058,0.4829867674858223062381852552,-36,-36,run_916c86b43fbe477db62b8cc96d5a1c46,ema_pullback:f67cc3e692d477977bd7377e
lookback-030,eth_ema200_untouched_anchor_sweep,30,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2248,2248,0.4995551601423487544483985765,0.9800232540078171394801640732,-2,-2,-0.20576173085702620130715933,-0.5374897636274228132635372825,1209,0.5111662531017369727047146402,27,27,1039,0.4860442733397497593840230991,-29,-29,run_b769c3b859a84c1a92ac173b2d9b1adf,ema_pullback:6466c68c9a91efe186a83f76
lookback-031,eth_ema200_untouched_anchor_sweep,31,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2217,2217,0.5006765899864682002706359946,0.9811903739206050333518958653,3,3,-0.1893729395829760916116344407,-0.5199004026825219539061338410,1190,0.5134453781512605042016806723,32,32,1027,0.4858812074001947419668938656,-29,-29,run_8494b5f62d764231970e21fa69b8cd6e,ema_pullback:5014cadfb7651db21af12847
lookback-032,eth_ema200_untouched_anchor_sweep,32,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2202,2202,0.5004541326067211625794732062,0.9776568470897829461829905460,2,2,-0.2171423307952880122804589136,-0.5174292585645509149723751150,1181,0.5122777307366638441998306520,29,29,1021,0.4867776689520078354554358472,-27,-27,run_c5af14d75ca14156a073115d39fc35c8,ema_pullback:ca6efb8636fc749a1541633e
lookback-033,eth_ema200_untouched_anchor_sweep,33,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2172,2172,0.5009208103130755064456721915,0.9801982270399191517359358153,4,4,-0.1971484069260453478974301586,-0.5386870843373116427415989030,1164,0.5128865979381443298969072165,30,30,1008,0.4871031746031746031746031746,-26,-26,run_2fd5f8345d5c4edca89efbac5c48d6fb,ema_pullback:52961b3a427e068abc905315
lookback-034,eth_ema200_untouched_anchor_sweep,34,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2149,2149,0.5002326663564448580735225686,0.9786487573526721324282673118,1,1,-0.2100190704337991590180531526,-0.5484320934008564113141466918,1150,0.5130434782608695652173913043,30,30,999,0.4854854854854854854854854855,-29,-29,run_651a913ae5e04121b7094ecf8593d5c0,ema_pullback:06ee35e4ec5454b7b47e94ba
lookback-035,eth_ema200_untouched_anchor_sweep,35,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2115,2115,0.5007092198581560283687943262,0.9824655852263153757000645863,3,3,-0.1740930771338615279154864957,-0.5409477406859861842982140860,1131,0.5137046861184792219274977896,31,31,984,0.4857723577235772357723577236,-28,-28,run_d778ebbf3b774f5b90c80d0864081d00,ema_pullback:4d105ae3fca536f3a1b7ec71
lookback-036,eth_ema200_untouched_anchor_sweep,36,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2095,2095,0.4992840095465393794749403341,0.9788301812940694116104630963,-3,-3,-0.2050993660289595207279472408,-0.5456059420164047881094922275,1118,0.5143112701252236135957066190,32,32,977,0.4820880245649948822927328557,-35,-35,run_99f55750fdf84aa6a3a217062ebd8ecf,ema_pullback:5d5b4f40fb7f564713e6f877
lookback-037,eth_ema200_untouched_anchor_sweep,37,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2069,2069,0.4978250362493958434026099565,0.9768271550805609539213992873,-9,-9,-0.2233327235356078925410328174,-0.5515522983121640047206136757,1102,0.5136116152450090744101633394,30,30,967,0.4798345398138572905894519131,-39,-39,run_72bb08bbbdfe4e30bbf88f5d88296b8c,ema_pullback:6c8078ae65afe8ae0c5e2871
lookback-038,eth_ema200_untouched_anchor_sweep,38,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2045,2045,0.4977995110024449877750611247,0.9740654103576132925409900917,-9,-9,-0.2462022752357937420138104857,-0.5570818166410505741141325116,1087,0.5142594296228150873965041398,31,31,958,0.4791231732776617954070981211,-40,-40,run_9d20effcec1246cc94ceea535232972e,ema_pullback:adabaed1b93f468739421207
lookback-039,eth_ema200_untouched_anchor_sweep,39,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,2011,2011,0.4987568373943311785181501740,0.9803104301349637972751384145,-5,-5,-0.1867125058931395071918734064,-0.5391039351566159717617710180,1069,0.5126286248830682881197380730,27,27,942,0.4830148619957537154989384289,-32,-32,run_154513ac35d34ce9a534fa388b173f67,ema_pullback:6b7274316674a77d5df1da3c
lookback-040,eth_ema200_untouched_anchor_sweep,40,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1978,1978,0.4984833164812942366026289181,0.9823380836605974617119315444,-6,-6,-0.1676339962524173297950768583,-0.5303442322208170567925052565,1050,0.5114285714285714285714285714,24,24,928,0.4838362068965517241379310345,-30,-30,run_cdef45d8a1374f3fbb30cc93f25164d0,ema_pullback:cf3103e4d18afc1e3c99cb6c
lookback-041,eth_ema200_untouched_anchor_sweep,41,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1954,1954,0.4994882292732855680655066530,0.9819639212976229634740183918,-2,-2,-0.1644415773774940414342677481,-0.5126204156584863443964260439,1037,0.5110896817743490838958534233,23,23,917,0.4863685932388222464558342421,-25,-25,run_4f6768c717b144c1aa5c8537ecccd228,ema_pullback:9b004eaeef2884b0b91cee95
lookback-042,eth_ema200_untouched_anchor_sweep,42,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1929,1929,0.4981855883877656817003628823,0.9731251127775339035237986673,-7,-7,-0.2270540879370882403068588318,-0.5178825831521821814997966126,1025,0.5073170731707317073170731707,15,15,904,0.4878318584070796460176991150,-22,-22,run_7fdbde7828d8469881509bdc7f619c23,ema_pullback:fe0d95c30629d8e0b38e7cbe
lookback-043,eth_ema200_untouched_anchor_sweep,43,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1911,1911,0.4986917844060701203558346415,0.9771730898665931772387529679,-5,-5,-0.194798926649583685119072987,-0.5010612511397114270783669949,1017,0.5083579154375614552605703048,17,17,894,0.4876957494407158836689038031,-22,-22,run_d81869affaad43a9b9f9dc462fb1db71,ema_pullback:7dba5cb1ceca5ad15b5cfdb0
lookback-044,eth_ema200_untouched_anchor_sweep,44,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1893,1893,0.4992076069730586370839936609,0.9802778513569743394141258736,-3,-3,-0.1672888462847693856033727514,-0.4866241287764648073708608547,1009,0.5074331020812685827552031715,15,15,884,0.4898190045248868778280542986,-18,-18,run_80430fbcade34a4e8d76baa4b4f40f27,ema_pullback:3ee1afc483345367e5742e1a
lookback-045,eth_ema200_untouched_anchor_sweep,45,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1880,1880,0.5,0.9819991491690186056148249430,0,0,-0.1520334879495958165438783704,-0.4808875563546561109370475502,1001,0.5064935064935064935064935065,13,13,879,0.4926052332195676905574516496,-13,-13,run_cb085e089f814dbba4a3ed5224b4e13e,ema_pullback:23a83cc8b44da5ea49195d54
lookback-046,eth_ema200_untouched_anchor_sweep,46,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1858,1858,0.5005382131324004305705059203,0.9841801206332446385553129500,2,2,-0.1360260499885379921440138761,-0.4915791024760204307983822869,991,0.5065590312815338042381432896,13,13,867,0.4936562860438292964244521338,-11,-11,run_856c1f5f2d1e40bf95396c548dc7cbcd,ema_pullback:91a8c4107c3c21a908e0214b
lookback-047,eth_ema200_untouched_anchor_sweep,47,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1841,1841,0.5029875067897881586094513851,0.9919515613205271268164826038,11,11,-0.06979500555803870661903395977,-0.4715471216989229902685297944,982,0.5091649694501018329938900204,18,18,859,0.4959254947613504074505238650,-7,-7,run_b12663b969ff4c54bddeb016a210bc79,ema_pullback:658c9998cb1d5dff762db46e
lookback-048,eth_ema200_untouched_anchor_sweep,48,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1818,1818,0.5044004400440044004400440044,0.9929728408156078230804218359,16,16,-0.05931115359485252351859080017,-0.4623383354745344553200938862,966,0.5113871635610766045548654244,22,22,852,0.4964788732394366197183098592,-6,-6,run_26480df870654c3a9153c91ed42db26b,ema_pullback:849f2b821af1a94c3e50423c
lookback-049,eth_ema200_untouched_anchor_sweep,49,5f9b0e2918a2d95b6e3938fff08994062981948222fcb6403259781603c86b4c,1802,1802,0.5033296337402885682574916759,0.9899281263397481970288895041,12,12,-0.08451366004694364337266566201,-0.4904733458094143113258381446,958,0.5104384133611691022964509395,20,20,844,0.4952606635071090047393364929,-8,-8,run_9152d4a5a7cf44e799350a0f21f573c3,ema_pullback:1cdaf16fca383f475cc09aed
