candidate_id,source_batch_id,min_current_width_atr,untouched_lookback,tp_sl_ratio,tp_atr_multiplier,sl_atr_multiplier,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
w09-lb070-r2_0,lab_3d_w09_lb_ratio,9,70,2.0,6.0,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,391,391,0.3682864450127877237851662404,1.123464921112631313880474324,40.99999999999999901849662294,40.99999999999999901849662294,0.1691241260149454305980811853,-0.1032618524948184190064884495,250,0.396,47.00000000000000006477268044,47.00000000000000006477268044,141,0.3191489361702127659574468085,-6.000000000000001046276057461,-6.000000000000001046276057461,run_2b0f08821d9540979c62e31df6a36f4e,ema_pullback:74dcc178ab14662fc1a88be9
w09-lb070-r2_25,lab_3d_w09_lb_ratio,9,70,2.25,6.75,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,389,389,0.3341902313624678663239074550,1.065429912698095750237629929,33.50000000000000178420003807,33.50000000000000178420003807,0.09044509167072601601303874916,-0.1165952973654532309322165165,249,0.3534136546184738955823293173,37.00000000000000004168576320,37.00000000000000004168576320,140,0.3,-3.499999999999998257485725134,-3.499999999999998257485725134,run_5af10a5da614421bb4bd6254cf4a2919,ema_pullback:01c34e3de4eb63c578c39a22
w09-lb070-r2_5,lab_3d_w09_lb_ratio,9,70,2.5,7.5,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,388,388,0.3144329896907216494845360825,1.094654357967107674251195912,39.00000000000000341703420280,39.00000000000000341703420280,0.1352994812784718102544707692,-0.1067881261973647956258017462,248,0.3266129032258064516129032258,35.50000000000000182004404435,35.50000000000000182004404435,140,0.2928571428571428571428571429,3.500000000000001596990158454,3.500000000000001596990158454,run_5592f3b9009e444982fe19293653ebc8,ema_pullback:542ef7e3630b17ec005c7a49
w09-lb070-r2_75,lab_3d_w09_lb_ratio,9,70,2.75,8.25,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,386,386,0.3108808290155440414507772021,1.178733980167182459074608687,64.00000000000000524459998783,64.00000000000000524459998783,0.2684784531358356220144659326,-0.0923472103477506037895067781,246,0.3211382113821138211382113821,50.25000000000000279725743724,50.25000000000000279725743724,140,0.2928571428571428571428571429,13.75000000000000244734255056,13.75000000000000244734255056,run_84f60e9b607842fa9ba42dea6da0a6c1,ema_pullback:c35d7d327fcdab0ca6370561
w09-lb070-r3_0,lab_3d_w09_lb_ratio,9,70,3.0,9.0,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,384,384,0.2916666666666666666666666667,1.176170609536982561703565828,64.00000000000000179928358856,64.00000000000000179928358856,0.2664929490016303445950736867,-0.0807411603069237097872099298,245,0.3020408163265306122448979592,51.00000000000000072070610007,51.00000000000000072070610007,139,0.2733812949640287769784172662,13.00000000000000107857748845,13.00000000000000107857748845,run_7af73058443547b9b08a4a3fbd5f3518,ema_pullback:a493b95bb9212f18179fb282
w09-lb070-r3_25,lab_3d_w09_lb_ratio,9,70,3.25,9.75,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,384,384,0.2838541666666666666666666667,1.215166556179324484002091096,79.25000000000000183393054113,79.25000000000000183393054113,0.3372832219239349514585615514,-0.0700535307307123416408267898,245,0.2897959183673469387755102041,56.75000000000000164822393159,56.75000000000000164822393159,139,0.2733812949640287769784172662,22.50000000000000018570660956,22.50000000000000018570660956,run_97c8df0ae7f948f1a182935e32562997,ema_pullback:52f3ebb5d42d5b9b2760d9d6
w09-lb070-r3_5,lab_3d_w09_lb_ratio,9,70,3.5,10.5,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,383,383,0.2715404699738903394255874674,1.254444289056702770641007238,85.00000000000000560822344034,85.00000000000000560822344034,0.4117946414761819811827989731,-0.0774147749599990463501861125,244,0.2827868852459016393442622951,66.50000000000000352643232409,66.50000000000000352643232409,139,0.2517985611510791366906474820,18.50000000000000208179111626,18.50000000000000208179111626,run_1ea599d0c7fc47599e65dda1ff02f091,ema_pullback:cf2841fc5838ad7e3cbd4b9e
w09-lb070-r3_75,lab_3d_w09_lb_ratio,9,70,3.75,11.25,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,383,383,0.2637075718015665796344647520,1.305748656584956813378932321,96.7499999999999987206057623,96.7499999999999987206057623,0.5253241215862844004058700271,-0.0773795386245931817696796080,244,0.2704918032786885245901639344,69.49999999999999887639016981,69.49999999999999887639016981,139,0.2517985611510791366906474820,27.24999999999999984421559251,27.24999999999999984421559251,run_5440d8a0d07646a38b97a8e9fe614727,ema_pullback:99b381154198f2b10cb61da9
w09-lb070-r4_0,lab_3d_w09_lb_ratio,9,70,4.0,12.0,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,381,381,0.2519685039370078740157480315,1.246897958537759518534874169,98.9999999999999985785091782,98.9999999999999985785091782,0.3932819579329369334300314076,-0.0909845912229692754057773482,242,0.2520661157024793388429752066,62.99999999999999874327285631,62.99999999999999874327285631,139,0.2517985611510791366906474820,35.99999999999999983523632190,35.99999999999999983523632190,run_dd3c4a1cccc44f799c23fb436af24c17,ema_pullback:0cbb1d68cac569bd7ededd80
w09-lb070-r4_25,lab_3d_w09_lb_ratio,9,70,4.25,12.75,3.0,ad084c92621e84c7183b4b2bfdc8ce546c381e71183729434744148a4a73455e,381,381,0.2493438320209973753280839895,1.313338313580640424352157923,117.7500000000000047749580450,117.7500000000000047749580450,0.5284371870316335031167486806,-0.0909845912229692754057773482,242,0.2520661157024793388429752066,78.25000000000000299041006268,78.25000000000000299041006268,139,0.2446043165467625899280575540,39.50000000000000178454798219,39.50000000000000178454798219,run_ca221e4d37594cb480202818d597063f,ema_pullback:c5a17263c5eb72d365432afc
