candidate_id,source_batch_id,untouched_lookback,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
lookback-001,lab_baseline_untouched_only_v2,1,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,4506,4506,0.4975588104749223257878384376,0.9751476908103761147647618170,-22,-22,-0.2968160375435203206799645148,-0.4216694566255820209189930270,2481,0.5018137847642079806529625151,9,9,2025,0.4923456790123456790123456790,-31,-31,run_8427edb8ff8343cfa453f22484a0a673,ema_pullback:aa60cd3dc7c9b1a5d2cefbc8
lookback-002,lab_baseline_untouched_only_v2,2,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,4308,4308,0.4983751160631383472609099350,0.9749008250785849025897925326,-14,-14,-0.287139707517501268462519627,-0.4205113001266194430518353917,2373,0.5018963337547408343868520860,9,9,1935,0.4940568475452196382428940568,-23,-23,run_d72ec7d106a04507a12e2585607391b3,ema_pullback:d6ed96c3bcdc38db9b2c0c17
lookback-003,lab_baseline_untouched_only_v2,3,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,4169,4169,0.4986807387862796833773087071,0.9802067966445066035449023074,-11,-11,-0.2290000505917826203934797301,-0.3993943531264940404651305229,2296,0.5026132404181184668989547038,12,12,1873,0.4938601174586225306994127069,-23,-23,run_377253168a224cbca21de53f151b1f05,ema_pullback:0f4aa28106c1e9186cd60454
lookback-004,lab_baseline_untouched_only_v2,4,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,4040,4040,0.4982673267326732673267326733,0.9787113536898541579713182103,-14,-14,-0.2363809984031314912578782726,-0.3929744749848249211970330940,2220,0.5027027027027027027027027027,12,12,1820,0.4928571428571428571428571429,-26,-26,run_c0d1bde5b6c14eab9433ea387e72bde4,ema_pullback:424c1efaf0d5d8cf03d32063
lookback-005,lab_baseline_untouched_only_v2,5,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,3958,3958,0.4994946942900454775138959070,0.9857634179399962021905316602,-4,-4,-0.1581674401538440781983844207,-0.3657599173679477242173124306,2174,0.5050597976080956761729530819,22,22,1784,0.4927130044843049327354260090,-26,-26,run_26e4d84d2acd4aadbdadc2f71655e555,ema_pullback:6bb71ee12f1acbd261797ce4
lookback-006,lab_baseline_untouched_only_v2,6,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,3855,3855,0.4980544747081712062256809339,0.9821700839426908521163406353,-15,-15,-0.193695577464916494612769292,-0.3866107736654746738335329719,2113,0.5026029342167534311405584477,11,11,1742,0.4925373134328358208955223881,-26,-26,run_b1f39142ae9a46ecbc47e1ea1ec139e9,ema_pullback:c3b1d0f12206cf932a60c810
lookback-007,lab_baseline_untouched_only_v2,7,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,3787,3787,0.4974914180089780829152363348,0.9840614447212240789820733202,-19,-19,-0.1704672418425921499082397059,-0.3894937022967691251614655205,2068,0.5009671179883945841392649903,4,4,1719,0.4933100639906922629435718441,-23,-23,run_2d0bb8afa0d340788c2c3079b56dc75d,ema_pullback:b255d6722530d6f466e0106e
lookback-008,lab_baseline_untouched_only_v2,8,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,3709,3709,0.4990563494203289296306282017,0.9961145063051645115505268055,-7,-7,-0.0446064753228275287357910621,-0.3792854190233306026200859683,2023,0.5017301038062283737024221453,7,7,1686,0.4958481613285883748517200474,-14,-14,run_3e34c1b1cbf049b09eb45dbffd0ba860,ema_pullback:3fd61ed1f956bfeef7ed10c2
lookback-009,lab_baseline_untouched_only_v2,9,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,3627,3627,0.4987593052109181141439205955,0.9987929463331898498195407623,-9,-9,-0.01385302909898362350133688873,-0.3683093425773411914576851227,1977,0.5027819929185634800202326758,11,11,1650,0.4939393939393939393939393939,-20,-20,run_4034105a2fd84cc485bf4f224b198779,ema_pullback:8fc0894944e7707913485e82
lookback-010,lab_baseline_untouched_only_v2,10,96a9efa5b762de4597557350435f13ac8c387df8d8cbe995dfb6a7810e10b540,3556,3556,0.4974690663667041619797525309,0.9956620786523643046567410482,-18,-18,-0.04719481175299857209043930054,-0.3438938814710296391792850829,1939,0.5012893243940175348117586385,5,5,1617,0.4928880643166357452071737786,-23,-23,run_cb156d1a009349b7999da09024801050,ema_pullback:4dac60012eea3e3aff04ec53
